Stromtankstellen/NAME/__prefix;Stromtankstellen/NAME/__text;Stromtankstellen/pointProperty/Point/pos/__prefix;Stromtankstellen/pointProperty/Point/pos/__text;Stromtankstellen/pointProperty/Point/_srsName;Stromtankstellen/pointProperty/Point/_srsDimension;Stromtankstellen/pointProperty/Point/__prefix;Stromtankstellen/pointProperty/__prefix;Stromtankstellen/_gml:id;Stromtankstellen/__prefix;__prefix
fme;E-LadeBOX Gasthaus Schwarzer Adler;gml;48.331306 14.176038 0;EPSG:4326;3;gml;gml;id33392cbd-0326-4398-ac16-8cd6c4a431ef;fme;gml
fme;E-LadeBOX Gasthaus Dürnberg;gml;48.331932 14.191734 0;EPSG:4326;3;gml;gml;id53bbc8ea-99f8-4567-abf0-77290723f2d8;fme;gml
fme;E-LadeBOX Radsport Brückl (Zweiradwerkstatt);gml;48.304913 14.290678 0;EPSG:4326;3;gml;gml;idf116d632-d719-40ee-a4c5-545274149e12;fme;gml
fme;E-LadeBOX Gasthaus Plank;gml;48.339085 14.426004 0;EPSG:4326;3;gml;gml;id2b4fa665-6d81-4cfd-93e9-c6a3895c02b3;fme;gml
fme;E-LadeBOX Stadtamt Traun;gml;48.221046 14.237605 0;EPSG:4326;3;gml;gml;idf3127cfa-c280-49cd-9001-61451ef30635;fme;gml
fme;E-LadeCENTER Design Center Linz Tiefgarage;gml;48.299232 14.30591 0;EPSG:4326;3;gml;gml;id5677d1e3-5b9d-467c-baf2-e7096954feaf;fme;gml
fme;E-LadeBOX Gasthaus Oberwirt;gml;48.336826 14.30193 0;EPSG:4326;3;gml;gml;id0ff8d423-c02c-42e9-8cea-3a93e1cf309c;fme;gml
fme;E-LadeBOX Zum Schiefen Apfelbaum;gml;48.281406 14.293481 0;EPSG:4326;3;gml;gml;idf1d433b9-d381-448b-b264-a41f2a3f92d4;fme;gml
fme;E-LadeBOX Wia z'Haus Lehner;gml;48.326904 14.277758 0;EPSG:4326;3;gml;gml;id38d842cb-75fd-4e87-b8a0-beb4e6030319;fme;gml
fme;E-LadeBOX Schoffpau´r - Das Wirtshaus;gml;48.281204 14.230919 0;EPSG:4326;3;gml;gml;iddb81abca-3664-40f5-b900-a3ce01f7ff28;fme;gml
fme;E-LadeBOX Lichtblick - Station Ausee;gml;48.24707 14.420435 0;EPSG:4326;3;gml;gml;idc9c85f5f-d252-4dd6-ba32-43938a9bfe54;fme;gml
fme;E-LadeBOX Gasthaus Paschingerhof;gml;48.257362 14.203327 0;EPSG:4326;3;gml;gml;id09977a45-9273-4e26-ba64-79aaeb4c345f;fme;gml
fme;E-LadeBOX Keltendorf Mitterkirchen;gml;48.195782 14.726647 0;EPSG:4326;3;gml;gml;id9d243a25-6dde-4d5a-a910-c1ae80b0a079;fme;gml
fme;E-LadeBOX Gasthaus zur GIS;gml;48.382961 14.256155 0;EPSG:4326;3;gml;gml;id2aebe22c-2706-484e-be42-6831e117110e;fme;gml
fme;E-LadeBOX Vision St. Georgen an der Gusen;gml;48.271767 14.448325 0;EPSG:4326;3;gml;gml;id3ee35df9-7963-423b-a5a3-4064259c218c;fme;gml
fme;E-LadeBOX Plus Marktgemeinde Wartberg ob der Aist;gml;48.348083 14.508515 0;EPSG:4326;3;gml;gml;idd045f479-5ee2-4b0b-8404-318ff70965c9;fme;gml
fme;E-LadeBOX Gemeindeamt Kirchschlag;gml;48.413406 14.276133 0;EPSG:4326;3;gml;gml;idd8fdf4c3-42f7-43e5-918f-becfbc801d0d;fme;gml
fme;E-LadeBOX Intersport Eybl Linz (Zweiradwerkstatt);gml;48.299042 14.290238 0;EPSG:4326;3;gml;gml;id58ae01a6-9ec8-47b5-8316-f64f41023142;fme;gml
fme;E-LadeBOX Hotel Kolping;gml;48.29792 14.289372 0;EPSG:4326;3;gml;gml;ida0bdd992-ffbf-47a6-b8ff-61dbb82e6793;fme;gml
fme;E-LadeBOX Musikschule Linz;gml;48.307892 14.291995 0;EPSG:4326;3;gml;gml;idc49cdc46-387d-469c-839d-c7eb2572e977;fme;gml
fme;E-LadeBOX Hotel Harry's Home;gml;48.327991 14.323635 0;EPSG:4326;3;gml;gml;iddd3e0046-4166-40bc-a7b0-ffe8a8364f8b;fme;gml
fme;E-LadeSÄULE ÖAMTC Landeszentrale;gml;48.279736 14.304966 0;EPSG:4326;3;gml;gml;id34218f43-8baf-4dfd-8c07-a1ff34087086;fme;gml
fme;E-LadeBOX Landes- Frauen- und Kinderklinik;gml;48.301968 14.306238 0;EPSG:4326;3;gml;gml;id850884bd-2ff8-420f-8679-c85c527d15bb;fme;gml
fme;E-LadeBOX Allg. Krankenhaus der Stadt Linz;gml;48.303154 14.305259 0;EPSG:4326;3;gml;gml;id671faa4f-0b6b-444e-9c18-ea753fe493c9;fme;gml
fme;E-LadeBOX Allg. Krankhaus der Stadt Linz 2;gml;48.3032 14.305159 0;EPSG:4326;3;gml;gml;id270fb95a-01bc-462c-bcb8-9ce60ffd330c;fme;gml
fme;E-LadeBOX Cafè Gust;gml;48.360077 14.240151 0;EPSG:4326;3;gml;gml;idc6beb67c-957e-4fa7-816c-62fed12d979b;fme;gml
fme;E-LadeCENTER Tiefgarage Promenade;gml;48.304321 14.28345 0;EPSG:4326;3;gml;gml;id085741f3-2739-4e2c-ac17-397e61aa22dd;fme;gml
fme;E-LadeBOX LINZ LINIEN Talstation Pöstlingberg;gml;48.311115 14.27653 0;EPSG:4326;3;gml;gml;id29e49e40-9c91-4f22-8249-05d00b0a3333;fme;gml
fme;E-LadeBOX Tourismusverband Hellmonsödt;gml;48.431408 14.300291 0;EPSG:4326;3;gml;gml;id547c28ee-c44c-4119-8825-9e4ed23ebf82;fme;gml
fme;E-LadeBOX LINZ AG Center Heizhausstrasse;gml;48.281929 14.312632 0;EPSG:4326;3;gml;gml;idc9f56bfb-383d-4c52-8e3f-d6604fa56c62;fme;gml
fme;E-LadeBOX Plus Hotel Lebensquell Bad Zell;gml;48.346844 14.670825 0;EPSG:4326;3;gml;gml;id82298dff-9566-469b-b9cc-b3ef9b7649d7;fme;gml
fme;E-LadeCENTER Tiefgarage Spitz Hotel;gml;48.310307 14.281864 0;EPSG:4326;3;gml;gml;idc8ba8790-f6fc-4e87-ab46-c395a94df7f4;fme;gml
fme;E-LadeCENTER Tiefgarage Uniqa;gml;48.299339 14.303309 0;EPSG:4326;3;gml;gml;id8b36f74b-0d99-4172-ace0-6b201db6b3cc;fme;gml
fme;E-LadeBOX Plus Marktgemeinde Dimbach;gml;48.305805 14.90815 0;EPSG:4326;3;gml;gml;id569ec780-df64-45e7-88d5-211effb2d1d9;fme;gml
fme;E-LadeBOX Plus Marktgemeinde St.Oswald;gml;48.500507 14.584466 0;EPSG:4326;3;gml;gml;idf86f83e1-47dc-4994-927b-020e8ed6f67c;fme;gml
fme;E-LadeBOX Plus Marktgemeinde Lasberg;gml;48.470901 14.540274 0;EPSG:4326;3;gml;gml;id6f4841fe-03a5-4a5b-9073-3bace7d64981;fme;gml
fme;E-LadeBOX Plus Stadtgemeinde Enns;gml;48.214138 14.479093 0;EPSG:4326;3;gml;gml;id85633e2a-475d-4867-8d9c-8efd6dbd7455;fme;gml
fme;E-LadeBOX Vision WKO Oberösterreich;gml;48.301525 14.294254 0;EPSG:4326;3;gml;gml;id95a551f7-2e56-4a5e-a384-b4f814d860a2;fme;gml
